State,SA3 code 2016,SA3_name_2016,EstResidentPop_30_June_2016,Remoteness,SES_quintile,Prescriptions,Crude_rate_per_100000,Agesex_standardised_rate_per_100000,Decile_agesex_standardised_rate
SA,40101,Adelaide City,23396,Major Cities,Quintile 4,8881,37959,41615,9
ACT,80108,Weston Creek,23172,Major Cities,Quintile 5,14693,63408,53718,7
SA,40502,Lower North,23051,Inner Regional,Quintile 2,22549,97822,76729,3
WA,50103,Manjimup,23021,Outer Regional,Quintile 3,19649,85351,69590,4
Tas,60202,Meander Valley - West Tamar,22818,Outer Regional,Quintile 2,21893,95948,78042,3
Qld,31608,Noosa Hinterland,22667,Inner Regional,Quintile 3,20193,89087,83669,2
Qld,31203,Whitsunday,21840,Outer Regional,Quintile 2,15974,73142,74854,3
NT,70205,Katherine,20847,Remote,Quintile 1,3469,16640,24188,10
NSW,10502,Broken Hill and Far West,20598,Outer Regional,Quintile 1,21950,106561,88913,1
WA,50903,Wheat Belt - South,20545,Outer Regional,Quintile 1,17011,82798,70786,4
NSW,10103,Snowy Mountains,19740,Outer Regional,Quintile 3,15546,78752,66066,5
Tas,60302,Huon - Bruny Island,19708,Outer Regional,Quintile 3,19619,99548,85640,2
Vic,20301,Barwon - West,19282,Inner Regional,Quintile 4,12498,64815,63979,5
Qld,30904,Gold Coast Hinterland,19023,Inner Regional,Quintile 3,14267,74997,68729,4
NT,70203,Daly - Tiwi - West Arnhem,18216,Remote,Quintile 1,1828,10036,13172,10
Qld,31503,Outback - South,17992,Remote,Quintile 2,12022,66816,59334,6
Tas,60403,West Coast,17713,Outer Regional,Quintile 2,14584,82337,74595,3
Tas,60101,Brighton,17169,Inner Regional,Quintile 1,17727,103253,110248,1
WA,51101,Esperance,16289,Remote,Quintile 2,10095,61977,57217,6
