State,SA3_code,SA3_name,Population,Remoteness,SES_quintile,Prescriptions,PrescriptionRate,Median_income,Mortality_rate,Mortality_rate_ratio,Median_age_at_death
NSW,12403,Penrith,143452,Major Cities,Quintile 3,85097,59321,51716,548.8,1.15,77
Qld,30204,Sandgate,60085,Major Cities,Quintile 3,39277,65369,51063,776.8,1.12,82
NSW,12504,Parramatta,146708,Major Cities,Quintile 3,48780,33250,50721,635,1.13,82
Vic,21001,Keilor,61472,Major Cities,Quintile 3,31912,51912,50436,718.9,0.79,82
NSW,12303,Wollondilly,42215,Inner Regional,Quintile 3,27887,66059,50285,555.8,1.04,79
WA,50201,Mandurah,99405,Major Cities,Quintile 3,92046,92596,50148,818.3,1.01,79
Qld,31104,Jimboomba,46930,Major Cities,Quintile 3,30285,64533,49460,235.8,0.76,69
Vic,21305,Wyndham,233138,Major Cities,Quintile 3,108424,46506,48975,312.6,0.97,75
NSW,12405,St Marys,55427,Major Cities,Quintile 3,34542,62319,48960,545.9,1.29,76
Qld,30101,Capalaba,74184,Major Cities,Quintile 3,51883,69938,48922,577.1,0.96,82
SA,40105,Norwood - Payneham - St Peters,36443,Major Cities,Quintile 3,21977,60304,48495,958.1,1,84
Vic,21304,Melton - Bacchus Marsh,160293,Major Cities,Quintile 3,97952,61108,48280,379.2,1.05,75
Qld,30601,Cairns - North,54554,Outer Regional,Quintile 3,40604,74429,48053,377.8,0.89,71.5
NSW,11904,Kogarah - Rockdale,145493,Major Cities,Quintile 3,59178,40674,47475,623.7,0.88,84
Tas,60104,Hobart - South and West,33203,Inner Regional,Quintile 3,25025,75371,47388,723.3,0.99,83
NSW,12003,Strathfield - Burwood - Ashfield,159133,Major Cities,Quintile 3,46057,28942,47262,613.1,0.92,85
NSW,12404,Richmond - Windsor,37469,Major Cities,Quintile 3,23960,63945,47208,743.2,1.23,81
Qld,31403,Strathpine,38496,Major Cities,Quintile 3,25972,67466,47108,512.7,1.02,78
SA,40104,Campbelltown (SA),51633,Major Cities,Quintile 3,28748,55678,46320,755.8,0.78,85
NSW,11903,Hurstville,132733,Major Cities,Quintile 3,51414,38735,46268,711,0.9,85
Vic,21202,Casey - North,137519,Major Cities,Quintile 3,82302,59847,45689,540.7,1,80
Qld,30906,Nerang,69402,Major Cities,Quintile 3,49163,70838,43110,521.5,0.9,79
Vic,20202,Heathcote - Castlemaine - Kyneton,47826,Inner Regional,Quintile 3,43456,90862,42552,911.6,1.08,84
Qld,30904,Gold Coast Hinterland,19023,Inner Regional,Quintile 3,14267,74997,42515,428.1,0.74,80
Vic,20501,Baw Baw,49157,Inner Regional,Quintile 3,46036,93651,42464,769.8,1.02,80
Qld,30501,Brisbane Inner,72244,Major Cities,Quintile 3,26751,37029,42173,506,1.11,82
Vic,20102,Creswick - Daylesford - Ballan,28746,Inner Regional,Quintile 3,26131,90903,42166,903.8,1.17,80
Qld,31602,Caloundra,82926,Major Cities,Quintile 3,72401,87308,42027,873.8,0.92,84
Qld,30902,Coolangatta,55141,Major Cities,Quintile 3,43547,78973,41877,709,0.83,84
Qld,30908,Robina,51508,Major Cities,Quintile 3,30837,59868,41583,711.8,0.96,83
Qld,31607,Nambour,43662,Major Cities,Quintile 3,37499,85884,41003,813.5,1.09,80
Vic,20402,Wangaratta - Benalla,46456,Inner Regional,Quintile 3,47720,102720,40920,1031.3,1.1,81
Vic,20401,Upper Goulburn Valley,54270,Inner Regional,Quintile 3,55861,102931,39992,916.8,1.07,79
Qld,31606,Sunshine Coast Hinterland,50898,Inner Regional,Quintile 3,40572,79713,39914,619.8,0.89,78
WA,50901,Albany,60319,Outer Regional,Quintile 3,49700,82395,39440,798.2,1.04,81
Vic,21704,Warrnambool,50888,Inner Regional,Quintile 3,42575,83664,39183,814.7,1.02,82
NSW,10103,Snowy Mountains,19740,Outer Regional,Quintile 3,15546,78752,39054,882.9,1.14,79
Qld,30909,Southport,61128,Major Cities,Quintile 3,53069,86816,38545,814.5,1.08,84
WA,50103,Manjimup,23021,Outer Regional,Quintile 3,19649,85351,38037,783.8,1.05,78
Tas,60302,Huon - Bruny Island,19708,Outer Regional,Quintile 3,19619,99548,37786,745.1,1.05,79
Qld,31608,Noosa Hinterland,22667,Inner Regional,Quintile 3,20193,89087,37747,613.9,0.97,74
Qld,30306,Sunnybank,52380,Major Cities,Quintile 3,19002,36278,37424,447.9,0.82,82
WA,50701,Cockburn,106216,Major Cities,Quintile 4,55781,52516,55345,473.8,0.98,80
NSW,12301,Camden,64212,Major Cities,Quintile 4,32253,50230,54843,491.1,1.02,83
Qld,30202,Chermside,71772,Major Cities,Quintile 4,42584,59332,53499,658.6,0.86,83
WA,50402,Mundaring,43138,Major Cities,Quintile 4,27184,63017,53103,535.2,0.81,80
WA,50702,Fremantle,38691,Major Cities,Quintile 4,23754,61394,52553,784.7,1.06,82
Vic,20602,Darebin - South,55271,Major Cities,Quintile 4,22908,41447,52413,591.1,0.91,84
Vic,20803,Kingston,122522,Major Cities,Quintile 4,70969,57923,51342,703.1,0.86,84
WA,50503,Wanneroo,194987,Major Cities,Quintile 4,97974,50247,51279,406.8,0.99,80
SA,40107,Unley,38916,Major Cities,Quintile 4,19974,51327,51112,1151.2,1.09,88
SA,40106,Prospect - Walkerville,28933,Major Cities,Quintile 4,14670,50705,50931,737.8,0.93,85
Vic,20802,Glen Eira,157014,Major Cities,Quintile 4,66746,42510,50598,653.4,0.83,85
Qld,31402,North Lakes,73908,Major Cities,Quintile 4,40043,54180,50522,462.7,1.06,83
SA,40301,Holdfast Bay,34689,Major Cities,Quintile 4,24144,69602,50285,1047.7,0.91,85
Vic,21002,Macedon Ranges,30739,Inner Regional,Quintile 4,19001,61815,50093,394.5,0.72,76
NSW,12502,Carlingford,68864,Major Cities,Quintile 4,23463,34072,49448,560,0.85,81
NSW,11503,Hawkesbury,25165,Inner Regional,Quintile 4,15107,60031,49265,455,0.91,77.5
NSW,12401,Blue Mountains,78496,Major Cities,Quintile 4,52624,67040,49182,717.2,0.96,82
SA,40205,Tea Tree Gully,95290,Major Cities,Quintile 4,65414,68648,48974,674.7,0.93,83
Vic,20601,Brunswick - Coburg,91653,Major Cities,Quintile 4,38766,42297,48876,540.5,0.91,83
Vic,21004,Sunbury,40978,Major Cities,Quintile 4,32065,78248,48684,497.1,0.9,79
Vic,21104,Whitehorse - East,63597,Major Cities,Quintile 4,32821,51608,48341,637.7,0.75,85
Vic,21303,Maribyrnong,87355,Major Cities,Quintile 4,38684,44283,47906,575.2,1.13,82
SA,40302,Marion,92098,Major Cities,Quintile 4,66446,72147,47827,733.1,0.87,84
NSW,11101,Lake Macquarie - East,123536,Major Cities,Quintile 4,85916,69548,47776,806.8,0.97,82
SA,40102,Adelaide Hills,72967,Inner Regional,Quintile 4,47343,64883,47634,544.6,0.85,83
WA,50603,Canning,97172,Major Cities,Quintile 4,49659,51105,47606,684,1.03,85
Tas,60102,Hobart - North East,52867,Inner Regional,Quintile 4,48271,91307,47376,903.6,1.08,82
Vic,21101,Knox,160712,Major Cities,Quintile 4,96299,59920,47080,603.2,0.92,83
Qld,30305,Rocklea - Acacia Ridge,62075,Major Cities,Quintile 4,27196,43811,46758,542.4,1.23,82
NSW,10703,Kiama - Shellharbour,92470,Major Cities,Quintile 4,78400,84785,46744,726.5,0.98,81
Tas,60105,Hobart Inner,51872,Inner Regional,Quintile 4,31171,60091,46505,931.7,1.2,84
Qld,30303,Mt Gravatt,74384,Major Cities,Quintile 4,33927,45611,46421,611.4,0.96,83
Qld,30907,Ormeau - Oxenford,125111,Major Cities,Quintile 4,77730,62129,46340,381,0.95,77
Qld,31304,Narangba - Burpengary,64693,Major Cities,Quintile 4,56247,86945,46020,562.6,1.12,81
Vic,21201,Cardinia,97790,Major Cities,Quintile 4,68621,70172,45688,490.2,1.02,79
Vic,20702,Manningham - West,95593,Major Cities,Quintile 4,40262,42118,45581,768.3,0.78,84
NSW,10201,Gosford,173257,Major Cities,Quintile 4,134662,77724,45569,979.6,1.05,83
Vic,20301,Barwon - West,19282,Inner Regional,Quintile 4,12498,64815,45405,676.3,1.29,81
Vic,21205,Monash,184848,Major Cities,Quintile 4,74076,40074,45368,699,0.84,85
Vic,20703,Whitehorse - West,107256,Major Cities,Quintile 4,45918,42811,45357,682.3,0.77,85
Vic,21105,Yarra Ranges,154495,Major Cities,Quintile 4,102757,66512,44887,570.8,0.94,81
NSW,10106,Young - Yass,36821,Inner Regional,Quintile 4,33174,90095,44368,926.5,1.24,79
Qld,30905,Mudgeeraba - Tallebudgera,34504,Major Cities,Quintile 4,21463,62206,43376,467.9,1,82
Vic,20303,Surf Coast - Bellarine Peninsula,73696,Inner Regional,Quintile 4,51209,69487,43081,741.8,0.87,84
NSW,11402,Southern Highlands,49059,Inner Regional,Quintile 4,39825,81179,42474,961.9,0.98,84
Qld,30901,Broadbeach - Burleigh,64491,Major Cities,Quintile 4,47347,73416,42230,642,0.83,81
Qld,31601,Buderim,56284,Major Cities,Quintile 4,36979,65701,41886,666.5,0.8,85
SA,40101,Adelaide City,23396,Major Cities,Quintile 4,8881,37959,41266,522.3,0.97,81
WA,50101,Augusta - Margaret River - Busselton,52283,Inner Regional,Quintile 4,36093,69034,38600,678.7,0.97,83
Qld,31605,Noosa,42626,Major Cities,Quintile 4,33539,78682,37361,823.3,0.87,84
